Title,Abstract,Year,Authors,Source title,Author Keywords,Index Keywords,Cited by,Affiliations,DOI,Document Type,Language of Original Document
The potential and implications of artificial intelligence in Bangladesh’s early career planning education,"The field of artificial intelligence (AI) is presently having a substantial influence on the advancement of career counseling education by enabling tailored guidance and evidence-based decision-making for learners. This paper aims to provide an overview about the utilization of AI in Bangladesh’s early career planning education. The utilization of AI has already been deployed in many first world country, however this is quite new to the third world country like Bangladesh. Significantly, artificial intelligence (AI) has surpassed its traditional function in professional growth and extended its reach to encompass social and emotional education. The examination of AI studies in Bangladesh requires the careful examination of several elements, such as cognitive advancement, parental engagement and oversight, and cultural heritage. This paper reveals overall all the facets of implementing AI in career planning in context of Bangladesh. Although there are several limits associated with the utilization of artificial intelligence for career assessment, it has undeniably yielded a multitude of benefits and discoveries. In the result, the two areas of data-informed making choices and career exploration are where the phenomena mentioned above are most frequently seen. Additionally, there is a growing need for cultural competency in the educational sector for both the delivery of individualized career counseling and AI-assisted employment suggestions. © The Author(s) 2024.",2024,Shabur M.A.,Discover Global Society,Artificial intelligence; Career planning; Children; Education; Parents,Not Available,10,"Institute of Leather Engineering and Technology, University of Dhaka, Dhaka, 1209, Bangladesh",10.1007/s44282-024-00072-6,Article,English
The future of hospitality jobs,"This article reviews the literature on artificial intelligence (AI)-driven technology and looks at its effects on the future of hospitality jobs, and the skills needed for the future. The purpose of this article is to understand and describe how developments in AI-driven robotics and automation will shape the future of hospitality jobs, the skills in demand, and their impact on the design of education and training. Various input parameters are significant in understanding the future of hospitality jobs. For an optimised understanding, literature has been critically reviewed and investigated from different angles, namely academics, technological advancements, developments in the industry, and governments and policymakers. The literature reveals that AI-driven technology is developing at a very high speed and shows its extensive application in tourism and hospitality management and other related industries. Many of today’s jobs will be lost to AI, automation and robotics, and new jobs with new skill-set requirements will emerge. Education establishments will have to adopt a new futureproof educational system or risk becoming obsolete. This review article will be beneficial for industry and education. The article reveals the detailed literature review on jobs that are at high risk of disappearing and offers an insight into what future jobs might be and what skills and competences will be required. © 2020 The Author(s). Co-published by NISC Pty (Ltd) and Informa UK Limited, trading as Taylor & Francis Group.",2020,El Hajal G.; Rowson B.,Research in Hospitality Management,artificial intelligence; employment; hospitality; human resources; skills; training and education,Not Available,18,"Stenden Hotel Management School, NHL Stenden University of Applied Sciences, Leeuwarden, Netherlands",10.1080/22243534.2020.1790210,Article,English
Exploring Health Literacy and the Correlates of Pap Testing Among African Immigrant Women: Findings from the AfroPap Study,"African immigrant (AI) women have low rates of Pap testing. Health literacy plays a pivotal role in health behaviors. Sources and types of health information could shape health literacy and inform the Pap testing behaviors of AI women. However, the influences of health literacy, sources, and types of health information along with cultural and psychosocial correlates on the Pap testing behaviors of AI women are poorly understood. To examine how sources and types of health information impact health literacy, and in turn, how health literacy and cultural and psychosocial factors influence the Pap testing behaviors of AI women. An adapted Health Literacy Skills Framework guided the selection of variables for this cross-sectional study. Convenience sampling was used to recruit 167 AI women, 21–65 years. Multivariate logistic regression was used to assess correlates of Pap testing after adjusting for covariates (age, education, English proficiency, employment, income, health insurance, access to primary care, marital status, and healthcare provider recommendation). Most participants (71%) had received a Pap test in the past and used multiple (two or more) sources (65%) and types (57%) of health information. Using multiple sources of health information (aOR 0.11, p < 0.01) but not types of health information was associated with Pap testing. Having negative cultural beliefs (aOR 0.17, p = 0.01) and having high self-efficacy (aOR 9.38, p < 0.01) were significantly associated with Pap testing after adjusting for covariates. High health literacy (OR 3.23, p < 0.05) and high decisional balance (OR 5.28, p < 0.001) were associated with Pap testing in bivariate models but did not remain significant after controlling for covariates. Cultural beliefs was a significant correlate of AI women’s Pap testing behaviors regardless of other known social determinants of health (education, English proficiency, age, access to primary care). Disseminating health information through various sources has the potential to promote Pap testing among AI women. Larger studies which utilize a robust sampling strategy and include a diverse group of AI women are needed in order to optimize health interventions aimed at improving Pap test screening behaviors among AI women. © 2020, American Association for Cancer Education.",2021,Cudjoe J.; Budhathoki C.; Roter D.; Gallo J.J.; Sharps P.; Han H.-R.,Journal of Cancer Education,African immigrant; Health literacy; Pap testing; Psychosocial factors; Women,"Cross-Sectional Studies; Early Detection of Cancer; Emigrants and Immigrants; Female; Health Knowledge, Attitudes, Practice; Health Literacy; Humans; Papanicolaou Test; Uterine Cervical Neoplasms; Vaginal Smears; adult; aged; article; controlled study; convenience sample; cross-sectional study; education; employment; English proficiency; female; health care personnel; health insurance; health literacy; human; human experiment; human tissue; immigrant; major clinical study; marriage; medical information; Papanicolaou test; primary medical care; skill; social determinants of health; attitude to health; early cancer diagnosis; migrant; uterine cervix tumor; vagina smear",17,"Johns Hopkins School of Nursing, 525 North Wolfe Street, Baltimore, 21205, MD, United States; Inova Health System, 8110 Gatehouse Road Suite 200W, Falls Church, 22042, VA, United States; Johns Hopkins Bloomberg School of Public Health, 615 N Wolfe Street, Baltimore, 21205, MD, United States",10.1007/s13187-020-01755-9,Article,English
Skills or degree? The rise of skill-based hiring for AI and green jobs,"Emerging professions in fields like Artificial Intelligence (AI) and sustainability (green jobs) are experiencing labour shortages as industry demand outpaces labour supply. In this context, our study aims to understand whether employers have begun focusing more on individual skills rather than formal qualifications in their recruitment processes. We analysed a large time-series dataset of approximately eleven million online job vacancies in the UK from 2018 to mid-2024, drawing on diverse literature on technological change and labour market signalling. Our findings provide evidence that employers have initiated “skill-based hiring” for AI roles, adopting more flexible hiring practices to expand the available talent pool. From 2018 to 2023, demand for AI roles grew by 21 % as a proportion of all postings (and accelerated into 2024). Simultaneously, mentions of university education requirements for AI roles declined by 15 %. Our regression analysis shows that university degrees have a significantly lower wage premium for both AI and green roles. In contrast, AI skills command a wage premium of 23 %, exceeding the value of degrees up until the PhD-level (33 %). In occupations with high demand for AI skills, the premium for skills is high, and the reward for degrees is relatively low. We recommend leveraging alternative skill-building formats such as apprenticeships, on-the-job training, MOOCs, vocational education and training, micro-certificates, and online bootcamps to fully utilise human capital and address talent shortages. © 2025 The Authors",2025,Bone M.; González Ehlinger E.; Stephany F.,Technological Forecasting and Social Change,AI; Education; Future of work; Labour markets; Skills; Sustainability,United Kingdom; Future of works; Green jobs; In-field; Individual skills; Labor shortages; Labor supply; Labour market; Recruitment process; Skill; Times series; artificial intelligence; education; green job; labor market; recruitment (employment); sustainability; Apprentices,27,"UNESCO, Paris, France; Burning Glass Institute, United States; Oxford Internet Institute, University of Oxford, United Kingdom; Humboldt Institute for Internet and Society, Berlin, Germany; Bruegel, Brussels, Belgium",10.1016/j.techfore.2025.124042,Article,English
Professional development beyond borders: University-led CPD programmes for educators in international contexts,"Four pressing global trends—the accelerated rise of Generative Artificial Intelligence, the urgency of teaching sustainability education, the growing demand for entrepreneurial and employability skills, and the increase in human migration and mobility—have significantly shaped curricula, educational policies and practices worldwide. Continuing Professional Development (CPD) serves as a vital catalyst for educational innovation and organisational improvement, equipping educators with the skills and values needed to respond effectively to these trends in an ever-evolving educational landscape. Drawing on adult learning and problem-based learning theories, this paper examines university-led CPD programmes for international educators. Key features of university-led CPD have been identified: multidisciplinary content, communities of practice, systemic coherence and alignment, a commitment to global engagement, and the decolonisation of knowledge. We argue that effective and well-designed university-led CPD initiatives can not only address the limitations of traditional approaches but also enhance the professional growth of educators working in global contexts. © 2025 British Educational Leadership, Management & Administration Society (BELMAS). This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).",2025,Tian M.; Yan W.,Management in Education,capacity building; continuing professional development; globalisation; knowledge co-creation; university,Not Available,0,"Department of Teacher Education, University of Birmingham, Birmingham, United Kingdom",10.1177/08920206251389840,Article,English
"Transforming accounting education: integrating technological, soft and research skills in education","Automation and digitisation have transformed accounting practice, demanding new skills in accounting professionals. This study aims to explore how the Integrated Accounting Systems course impacts the development of technological, soft and research skills in accounting students at a Peruvian university during the years 2022 and 2023. The methodology combined a literature review on accounting education and a survey applied to 143 students enrolled in the course. Structural equation modelling (SEM) was employed to analyse the relationships between the variables. The results show a positive perception of the course, highlighting its effectiveness in preparing students for the challenges of the digital environment. The findings extend knowledge about the role of innovative approaches in accounting education to integrate technological, soft and research skills in their professional training. These results contribute to the literature by establishing a framework that links practical teaching to the holistic development of competences in digital contexts. In terms of practical implications and potential impact, the results suggest guidelines for redesigning accounting education programmes in other institutions, adapting them to the demands of the current labour market. Finally, it is suggested to investigate variables not considered to enrich the analysis and foster more inclusive and effective educational approaches. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2025,Larios Soldevilla O.A.; Mendoza Ibarra V.; Moscoso Cuaresma J.R.; Urdanegui Sibina R.; Stone D.; Huamani Cerrón A.; Pretell Pintado E.A.,Cogent Education,Accounting; Accounting Education; Artificial Intelligence; Curriculum Studies; Employment & Unemployment; higher education; Higher Education Management; Latin American & Hispanic Studies; research skills; soft skills; Study Skills; Teaching & Learning–Education; technological skills,Not Available,7,"Faculty of Business, Universidad Peruana de Ciencias Aplicadas, Lima, Peru; Gatton College of Business, Universidad de Kentucky, Lexington, KY, United States",10.1080/2331186X.2025.2478304,Article,English
"Genius in, genius out? Can AI transform performance in the IT sector?","Purpose – The aim is to understand and answer the following question: How do employees' attitudes and perceptions of artificial intelligence (AI) influence their performance in a dynamic, tech-driven environment? Design/methodology/approach – Focusing on Jordan's evolving information technology (IT) sector, we surveyed 290 professionals working in companies that have already embraced AI. Using structural equation modeling, the interplay between four key factors – attitude towards using AI, perceived ease of use, perceived usefulness and perceived enjoyment – and their impact on employee performance were analyzed. Findings – All four factors significantly and positively influence performance. However, an importance-performance map analysis revealed an insight: While employees generally enjoy using AI, their attitudes and beliefs about its usefulness lag behind, signaling a potential gap between technology implementation and employee engagement. Practical implications – Companies are encouraged to cultivate positive attitudes, demonstrate practical usefulness, ensure ease of use and foster a sense of enjoyment in AI interactions. Policymakers, too, have a role in creating a supportive ecosystem for AI skills development and ethical implementation. Social implications – The results show that focused AI upskilling and enabling workplace behaviors can empower workforce preparedness and minimize the possibility of AI investments failing to result in better employee performance. Also, the findings reinforce policy interventions to increase the availability of AI education and strengthen responsible use by establishing clear ethics and data governing rules to empower more people to enjoy the benefits of digital transformation. Originality/value – The study adds to the body of literature on AI adoption in a non-Western context, which is usually less investigated. The IT sector is a cornerstone for any country (including Jordan) since it drives innovation and employment. Graphical abstract – (Figure presented.) © Emerald Publishing Limited",2026,Abaddi S.,Management and Sustainability,AI adoption; Artificial intelligence; Employee performance; Perceived enjoyment; Technology acceptance model,Not Available,0,"IDentity Research, Amman, Jordan",10.1108/MSAR-07-2025-0263,Article,English
"A study of developing administrative Staff's conceptual understanding of generative artificial intelligence through professional Development: Evaluation of a course using tests, surveys and thematic analysis of reflective writings","Emerging research underscores the growing importance of artificial intelligence (AI) literacy for administrative staff as AI technologies continue to reshape the labor market. However, there remains a limited study about the curriculum components of AI literacy for administrative staff. This study aims to bridge this gap by designing and evaluating a professional development programme for administrative staff grounded in a four-dimensional AI literacy framework. A total of 62 administrative staff from diverse professional backgrounds participated in a 30-h course on understanding Generative Artificial Intelligence (GenAI) and its applications. Pre- and post-course conceptual tests and acceptance surveys demonstrated significant improvements in participants' conceptual understanding of GenAI as well as acceptance of using GenAI. Additionally, a thematic analysis of participants’ self-reflective writing revealed increased awareness of the importance of developing metacognitive abilities in using GenAI tools, increased acceptance of using AI tools at workplace, and heightened social awareness regarding AI integration in the workplace. This study contributes to both empirical research and theory-building by providing a structured approach to AI literacy development, tailored for administrative professionals. The findings offer a framework for equipping administrative staff with the essential skills needed for AI-integrated workplaces, reducing barriers to AI literacy across diverse sectors. © 2025 The Authors",2025,Kong S.C.; Hu W.,Computers and Education: Artificial Intelligence,Administrative staff; Artificial intelligence literacy; Conceptual understanding; Generative artificial intelligence; Professional development,Artificial intelligence; Curricula; Employment; Engineering education; Human resource management; Professional aspects; Administrative staff; Artificial intelligence literacy; Artificial intelligence tools; Conceptual understanding; Generative artificial intelligence; Professional development; Reflective writing; Survey analysis; Test analysis; Thematic analysis; Acceptance tests,5,"Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong; Artificial Intelligence and Digital Competency Education Centre, The Education University of Hong Kong, 10 Lo Ping Road, Tai Po, New Territories, Hong Kong",10.1016/j.caeai.2025.100444,Article,English
Proposed curriculum for library and information science (LIS) education to meet the emerging trends in artificial intelligence (AI),"Purpose – This study aims to propose a Library and Information Science (LIS) curriculum that responds to emerging trends in artificial intelligence (AI). Design/methodology/approach – Data were collected through document analysis of Master’s LIS curricula at the University of Zambia and the University of KwaZulu-Natal. Official curriculum documents were systematically reviewed and analysed thematically using Braun and Clarke’s (2006) six-phase framework. A comparative analysis of the two curricula was then conducted to synthesise findings and inform the proposed curriculum. Findings – This study revealed no explicit AI components in either programme, underscoring the need for integration. A proposed framework encompasses five areas: Core LIS Principles, AI Fundamentals and Applications, Data Management and Analytics, Technological Proficiency and Ethics and Policy Frameworks. Integrating AI offers opportunities such as enhanced graduate competencies, improved employability, curriculum innovation, library transformation and interdisciplinary collaboration. Challenges include a shortage of qualified staff, limited funding, inadequate infrastructure, ethical concerns, algorithmic bias and implementation difficulties. Research limitations/implications – This study was limited to accessible documents, excluding informal aspects of delivery and student experiences that were not known to the researchers. Originality/value – To the best of authors’ knowledge, this is the first comparative study of LIS curricula between the University of Zambia and the University of KwaZulu-Natal. It introduces an original 11-themed taxonomy for evaluating AI and related content in LIS education, revealing critical gaps such as data management and analytics. This study provides contextually relevant and actionable recommendations for integrating AI into existing curriculum structures without a complete redesign, offering a replicable methodology for African and global institutions preparing information professionals for the AI era. © 2026 Emerald Publishing Limited",2026,Chisunka C.P.; Nsibirwa Z.,Digital Library Perspectives,Artificial intelligence (AI); Data management and analytics; Information ethics; Information literacy; Library and information science (LIS) education; LIS curriculum; Machine learning; Natural language processing,Artificial intelligence; Engineering education; Ethical aspects; Information management; Learning systems; Students; Artificial intelligence; Information ethics; Information literacy; Language processing; Library and information science; Library and information science curriculum; Library and information science educations; Machine-learning; Natural language processing; Natural languages; Science curriculum; Curricula,0,"Department of Library and Information Science, University of Zambia School of Education, Lusaka, Zambia; Department of Information Studies, University of KwaZulu-Natal, Pietermaritzburg Campus, Pietermaritzburg, South Africa; Department of Information Studies, University of KwaZulu-Natal – Pietermaritzburg Campus, Pietermaritzburg, South Africa",10.1108/DLP-07-2025-0108,Article,English
Artificial intelligence natural language generation experiment and instruction design for the liberal arts students; [面向文科学生的 AI 自然语言生成实验与教学设计],"[Significance] With the recent technological breakthroughs achieved by a series of large models in cross-media content generation and reasoning, artificial intelligence (AI) applications have emerged as a hot topic across various industries. Notably, natural language generation (NLG) technology, powered by large language models, has the remarkable ability to simulate human language behavior. This allows it to automatically generate texts that are not only grammatically accurate but also semantically clear and highly expressive, thereby facilitating smooth and efficient human–computer interaction. Given its vast potential, this technology is currently employed in a wide range of fields, including education, law, healthcare, finance, literature, and art. In this context, incorporating the teaching and training of AI NLG technology into the “New Liberal Arts” curriculum in universities has become paramount. This integration aims to assist students in cultivating AI thinking and interdisciplinary innovation capabilities, ultimately preparing them for future employment. [Progress] This paper represents a groundbreaking endeavor in “New Liberal Arts” education by introducing an experimental course to create hidden head poets utilizing a language model. The objective of this innovative curriculum is multifaceted—to impart a fundamental understanding of the concepts and principles underlying language models and to foster practical skills in AI applications among students. The experimental coursework is structured to provide a stepwise approach to mastering the subject matter. First, students are introduced to the basics of learning language models, laying the foundation for more advanced concepts. This is followed by an exploration of fine-tuning techniques, which involves adapting pretrained models to specific datasets. Subsequently, students try to deploy code, data, and training and predicting models on the Huawei cloud server. This hands-on experience equips them with the skills necessary to navigate the real-world challenges of AI implementation. The final step of the course is the generation of hidden poetry using the fine-tuned model. This creative application demonstrates the ability of language models and serves to kindle students’ interest in the potential of AI in various fields. Overall, this experimental course serves as a bridge between basic concepts and practical applications, enabling students to gain a holistic understanding of language models and their potential in the era of AI. [Conclusions and Prospects] Supported by the second batch of the “Industry–University Cooperation for Collaborative Education—New Liberal Arts Construction Project (Category A)” jointly initiated by the Ministry of Education and Huawei, we have successfully implemented this experimental program in the teaching of the “Python Programming” public course for the entire university during the spring and summer semesters of 2023, which received tremendous positive feedback from a wide range of students. Moreover, we developed and shared a set of operational and replicable experimental teaching materials online (URL: https://gitee.com/yaochw/ python_course_zju/). This allows us to establish a long-term teaching mechanism for our university and provides a valuable reference for more educators to conduct similar experimental teaching work. © 2024 Tsinghua University Press. All rights reserved.",2024,Yao C.; Chen C.; Chen M.,Experimental Technology and Management,artificial intelligence; large language model; natural language generation; new liberal arts,Not Available,4,"College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China",10.16791/j.cnki.sjg.2024.04.025,Article,Chinese
Future research recommendations for transforming higher education with generative AI,"Higher education is crucial for producing ethical citizens and professionals globally. The introduction of generative AI (GenAI), such as ChatGPT, has posed opportunities and challenges to the traditional model of education. However, the current conversations primarily focus on policy development and assessment, with limited research on the future of higher education. GenAI's impact on learning outcomes, pedagogy, and assessment is crucial for reforming and advancing the workforce. This qualitative study aims to investigate student perspectives on GenAI's impact on higher education. The study uses an initial conceptual framework driven by a systematic literature review to investigate the opportunities and challenges of AI in education. This framework serves as an initial data collection and analysis framework. A sample of 51 students from three research-intensive universities was selected for this study. Thematic analysis identified three themes and 10 subthemes. The findings suggest that future higher education should be transformed to train students to be future-ready for employment in a society powered by GenAI. They suggest new learning outcomes—skills in learning and teaching with GenAI, AI literacy—and emphasize the significance of interdisciplinarity and maker learning, with assessment focusing on in-class and hands-on activities. They recommend six future research directions – competence for future workforce and its self-assessment measures, AI literacy or competency measures, new literacies and their relationships, interdisciplinary teaching, Innovative pedagogies and their evaluation, new assessment and its acceptance. © 2023 The Author",2024,Chiu T.K.F.,Computers and Education: Artificial Intelligence,AI literacy; Assessment; ChatGPT; Generative artificial intelligence; Learning outcomes,Education computing; Personnel; 'current; AI literacy; Assessment; ChatGPT; Generative artificial intelligence; High educations; Learning outcome; Policy assessment; Policy development; Traditional models; Students,418,"Department of Curriculum and Instruction and Associate Director of the Centre for University and School Partnership and Centre for Learning Sciences and Technologies at the Chinese University of Hong Kong, Hong Kong",10.1016/j.caeai.2023.100197,Article,English
Of babies and bathwater: in defence of the traditional essay,"Assessment is always a hot topic in education, and has come into sharp focus recently in legal education with the introduction of the Solicitors Qualifying Examination (SQE). It has brought increased pressures to focus on problematic modes of assessment and styles of teaching, to accommodate the SQE’s multiple-choice questions (MCQs). Currently, discussions around the benefits of authentic assessment, about assessment choice for students, as well as the importance of embedding employability skills, and risks of academic misconduct all affect the types of assessment preferred in higher education institutions at any given time. In addition, the rise of generative artificial intelligence (GAI) is already having a significant impact on assessment practices–at least among students. All of these debates seem to have coincided to question the importance of, and subsequently firmly push out of favour, “the traditional essay”. They are described as traditional, implying not innovative or even boring; they are lamented as not being plagiarism proof, nor reflective of “real-world” tasks and now answerable by AI. However, we think we are in danger of throwing the proverbial baby out with the bathwater if we are too quick to discard the traditional essay as a method of assessment in law. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2025,Guth J.; Shipton J.,Law Teacher,Assessment; essay; legal education,Not Available,0,"School of Business and Law, Leeds Trinity University, Leeds, United Kingdom",10.1080/03069400.2025.2521194,Article,English
Digital Literacy and Employability Skills in Hospitality and Tourism Education,"This article investigates the fundamental digital literacy and employability competencies that students and educators need while offering an international perspective on hospitality and tourism education amid the evolution of a burgeoning digital economy. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) framework was used to source the published literature from 2019 to 2023 that concentrated on incorporating technology within hospitality and tourism education. The results reveal a significant disparity between the industry's anticipations regarding graduates' digital competencies and the actual digital proficiencies these graduates possess. The disparity is due to the digital technologies used, such as artificial intelligence (AI), robotics, cloud computing, and the Internet of Things (IoT). In this analysis, the necessity for enhancing hospitality and tourism education curricula emerged, emphasising digital technologies. Collaboration with industry and the execution of work-integrated learning are essential for developing digital competencies to address the current competency gap. This research provides valuable perspectives on the fundamental digital and employability skills graduates must acquire, which are crucial in hospitality and tourism education within a transforming digital economy. The study indicates that the curriculum should be innovative, equipping future hospitality and tourism professionals with digital skills and knowledge in line with emerging technologies. © 2025 AJHTL /Author(s) | Open Access – Online @ www.ajhtl.com https://creativecommons.org/licenses/by-nc-nd/4.0/",2025,Razack F.; Naicker N.; Sucheran R.,"African Journal of Hospitality, Tourism and Leisure",Digital economy; digital literacy skills; employability skills; hospitality and tourism education; tourism and hospitality industry,Not Available,3,"Department of Information and Corporate Management, Durban University of Technology; Department of Information Systems, Durban University of Technology; Department of Hospitality and Tourism, Durban University of Technology",10.46222/ajhtl.19770720.624,Article,English
Human capital futures: an educational perspective,"Purpose: Education institutions can be slow to react to the changes that are happening in human capital development content and delivery. This article highlights some of the shifts that robotics, artificial intelligence (AI) and access to information are having on jobs in tourism and the future of work. It explores the ways in which the tourism education sector can respond. Design/methodology/approach: This paper draws upon content shared at several conferences and webinars addressing the future of work and the education delivery methods from experts and commentators on the subject. This was augmented by research conducted by global tourism associations, the World Economic Forum and other global associations and supported with secondary data from recent media and online content providers. Findings: By highlighting emerging trends in the sector and skills to thrive in the fourth industrial revolution, we can identify what education should focus on during this period of transition and uncertainty. We need to capitalize on the digital delivery skills we have developed due to COVID-19 and build new content and accessible learning approaches. Originality/value: There are many uncertainties about the future of work and the way that a rapidly digitized education delivery approach has and will affect tourism education in the future. This article is aimed to generate further thought and dialogue by identifying changes and raising points about what we are effective at in public post-secondary education and what we need to capitalize on and adapt to in the future. The core question posed is that if the tourism and hospitality workforce and work environment has changed, has, or can, tourism and hospitality training and education change as well? © 2022, Chris Bottrill.",2022,Bottrill C.,Journal of Tourism Futures,Education; Employment; Futures; Robots,Not Available,3,"CapU International, Capilano University, North Vancouver, Canada",10.1108/JTF-04-2021-0101,Article,English
"Comparing AI literacy policies in the European Union, the United States, India, and China","As AI becomes a central element of national and global development strategies, actors are promoting AI literacy through policies that foster highly skilled talent and equip citizens to engage with AI in everyday life. This study conducts a comparative policy analysis of 41 AI literacy policies from the EU, US, India, and China, examining convergences and divergences in domestic talent cultivation and international talent attraction strategies. Research indicates that actors often follow similar pathways, including expanding AI and STEM programs in higher education and establishing dedicated institutions to strengthen internal talent reserves. Simultaneously, efforts are made to integrate technical and socio-technical competence into inclusive education, advancing AI literacy across society. Nevertheless, influenced by labor market saturation, AI industry development, and strategic positioning, AI literacy policies also exhibit regional variations. This study contributes to understanding global trajectories in AI policy development. © 2025 Elsevier Ltd",2026,Yang H.; Xu J.; Zeng X.; Gu X.,Telecommunications Policy,AI literacy; Comparative policy analysis; Policy diffusion; Policy transfer; Technology diplomacy,AI literacy; Comparative policy analyze; Development strategies; European union; Global development; National development; Policy analysis; Policy diffusions; Policy transfer; Technology diplomacy,2,"School of Journalism and Communication, Beijing Normal University, Beijing, China; International College, Krirk University, Bangkok, Thailand; School of Journalism and Communication, Hunan Institute of Science and Technology, China",10.1016/j.telpol.2025.103142,Article,English
Discussing ChatGPT’s implications for industry and higher education: The case for transdisciplinarity and digital humanities,"This comment builds on the example of chat generative pretrained transformer (ChatGPT) to discuss the implications of generative AI on industry and higher education, underlining the need for more transdisciplinary digital literacy education. The release of ChatGPT has generated significant academic and professional interest and instigated a vibrant discussion on the opportunities offered and challenges posed by powerful and readily accessible generative AI reshaping teaching and learning at universities. ChatGPT has reignited an age-old debate on the impact of disruptive technologies on occupations and the labor market, but recent discussions have paid little attention to how university offerings may need to adapt. We strive to open this discussion arguing that while recent GPT technology has, indeed, made more conceivable the substitution of many tasks of white-collar and knowledge workers, and suggested an acceleration of the labor market shift towards technology-centric occupations, it has simultaneously made a stronger-than-ever case for transdisciplinary competences. Consequently, we emphasize the need to foster more transdisciplinary digital literacy in universities with curricula that provide breadth of knowledge and flexibility of mind, bridging humanities with STEM disciplines. Digital humanities education is in a unique position to promote the responsible use of generative AI, while encouraging critical reflection on its socio-cultural embeddedness. © The Author(s) 2023.",2023,Dianova V.G.; Schultz M.D.,Industry and Higher Education,chat generative pretrained transformer; digital humanities; digital literacy; Generative artificial intelligence; higher education; labor market readiness; transdisciplinary education,Not Available,34,"Division of Business and Economics, Franklin University Switzerland, Switzerland",10.1177/09504222231199989,Article,English
"Codevelop Learning Tasks With Generative AI: Mapping Challenges, Gains, and Professional Development Needs","The design of learning tasks represents a fundamental pedagogical process that directly shapes educational effectiveness, but this process is time-consuming and knowledge-intensive for teachers. The rapid emergence of generative artificial intelligence (GenAI) technologies has created unprecedented opportunities for supporting teachers’ teaching practice. However, despite growing interest in teacher–GenAI collaboration, current research primarily focuses on preservice teachers and overall lesson plan design, with limited attention to challenges inherent in teacher–GenAI codesign of learning tasks or what teachers learn from such collaboration. To address this gap, we employed a mixed-methods approach involving 28 in-service teachers who collaborated with GenAI tools to codevelop learning tasks across three weeks. Qualitative analyses identified four overarching interaction challenges: inefficient interactions, low-quality tasks, lack of distributed cognition, and negative human–GenAI feedback loops. These overarching challenges emerged from bilateral deficiencies—three teacher-related shortcomings (providing too little context information, providing too little pedagogical guidance, and lacking GenAI skills) and six GenAI-related shortcomings (accuracy issues, limited prompt understanding, weak knowledge of content sequences, limited context knowledge, incomplete instructional solutions, and usability issues). Quantitative analyses of changes from pre to post showed significant improvements in teachers’ technical knowledge and artificial intelligence (AI) literacy, with no changes in self-efficacy and pedagogical knowledge. Finally, teachers expressed professional development needs primarily in two areas: AI foundations and applications and AI pedagogy. This study provides empirical evidence of bidirectional challenges in teacher–GenAI collaboration in designing learning tasks and offers a framework for understanding teacher professional growth through AI collaboration and further needs. © 2008-2011 IEEE.",2026,Cao J.; Wang S.; Chen X.; Schunn C.,IEEE Transactions on Learning Technologies,Generative artificial intelligence (GenAI); learning tasks design; teacher professional development (TPD); teacher–GenAI collaboration,Artificial intelligence; Employment; Engineering education; Learning systems; Teaching; Development needs; Generative AI; Learning task design; Learning tasks; Pedagogical process; Professional development; Task design; Teacher professional development; Teacher-generative artificial intelligence collaboration; Teachers'; Professional aspects,0,"The University of North Carolina at Chapel Hill, School of Education, Chapel Hill, 27599, NC, United States; Stanford University, School of Education, Stanford, 94305, CA, United States; The University of Manchester, School of Environment, Education and Development, Manchester, M13 9PL, United Kingdom; University of Pittsburgh, Learning Research and Development Center, Pittsburgh, 15260, PA, United States",10.1109/TLT.2026.3675467,Article,English
TECHNOLOGICAL UNEMPLOYMENT IN THE PERSPECTIVE OF INDUSTRY 4.0 DEVELOPMENT,"The article concerns the problem of technological unemployment in the perspective of industry 4.0 development. The purpose of the article is to indicate the positive and negative effects of industry 4.0 development and to define the ways of programming education as a way to counteract the negative effects of industry 4.0 development. The author emphasizes the need for an appropriate education curriculum, aimed at acquiring both professional and engineering competences as well as humanistic, ethical and social competences at the same time. Technological unemployment is defined as a temporary, short-term phenomenon, lasting until human capital is shifted to other applications. The lack of adequate education, including lifelong learning, creates a risk of transition from technological unemployment to structural unemployment, which is much more dangerous for economic and social reasons. The article, therefore, contains an analysis of the labor market in terms of the demand for specific competences in the perspective of industry 4.0 development and forecasts of the demand for competences of the future. There is no doubt that the development of industry 4.0 requires specialized competences combining the skills of an IT specialist and an automation / robotics specialist who has skills in the field of cyber-physical systems integration, operation of advanced production management systems and complex production data analysis systems as well as the application of artificial intelligence algorithms in the production space. At the same time, however, specialists with high communication, interpersonal and social competences will be sought, hence there is a need for appropriate education curriculum. © Author(s) 2022.",2022,Kuzior A.,Virtual Economics,competences of the future; education; Industry 4.0; structural unemployment; technological unemployment,Not Available,53,"Silesian University of Technology in Gliwice, 26-28 Roosevelt Str., Zabrze, 41-800, Poland",10.34021/VE.2022.05.01(1),Article,English
